component,version,license,source,status,notes
Node.js,24.10.0,MIT,https://nodejs.org,installed-and-tested,Existing installation retained
pnpm,10.17.1,MIT,https://registry.npmjs.org/pnpm/10.17.1,verified-and-tested,Explicit corepack pin; no global default change
Anchor CLI,1.1.2,Apache-2.0,https://github.com/otter-sec/anchor,installed-and-tested,Existing CLI retained
anchor-lang,1.1.2,Apache-2.0,https://crates.io/crates/anchor-lang/1.1.2,locked-built-executed,Disposable counter; full Cargo.lock archived
LiteSVM,0.10.0,Apache-2.0,https://crates.io/crates/litesvm/0.10.0,locked-and-tested,Requires solana-keypair ^3.1
solana-keypair,3.1.0,Apache-2.0,https://crates.io/crates/solana-keypair/3.1.0,locked-and-tested,Corrected generated-template exact-pin conflict
@anchor-lang/core,1.1.2,MIT OR Apache-2.0,https://registry.npmjs.org/@anchor-lang/core/1.1.2,locked-and-tested,Paired with Rust version and compiled IDL
@solana/web3.js,1.98.4,MIT,https://registry.npmjs.org/@solana/web3.js/1.98.4,locked-and-tested,Two moderate transitive advisories remain
toml,4.2.0,MIT,https://registry.npmjs.org/toml/4.2.0,patched-override-tested,Scoped Anchor override removes two high advisories
Python,3.9.6,PSF,https://python.org,installed-not-numerically-tested,Numerical packages not selected or installed yet
